Time[s] X[mm] Y[mm] a[rad] c11 c12 c13 c21 c22 c23 c31 c32 c33 
34004 1079 1476 1 0.234451 0.0117877 0.000126626 0.0117877 0.796517 3.52857e-05 0.000126626 3.52857e-05 3.79045e-07  
34004 1080 1474 1 0.235963 0.0136033 0.000105483 0.0136033 0.816191 4.30848e-05 0.000105483 4.30848e-05 3.3409e-07  
34004 1088 1474 1 0.114741 -0.0333113 5.39571e-05 -0.0333113 0.292602 -7.55894e-05 5.39571e-05 -7.55894e-05 1.22438e-07  
34005 1080 1432 1 0.243175 -0.0386624 -0.000101973 -0.0386624 1.66306 0.000159878 -0.000101973 0.000159878 4.21684e-07  
34005 1088 1477 1 0.120665 -0.0390697 6.21268e-05 -0.0390697 0.155677 -6.31843e-05 6.21268e-05 -6.31843e-05 1.00473e-07  
34006 1077 1453 1 0.214373 -0.0115923 -4.56406e-05 -0.0115923 0.849752 7.73059e-05 -4.56406e-05 7.73059e-05 3.04364e-07  
34006 1087 1477 1 0.0975383 -0.034516 4.85261e-05 -0.034516 0.221695 -7.0097e-05 4.85261e-05 -7.0097e-05 9.85495e-08  
34007 0 0 1 nan nan nan nan nan nan nan nan nan  
34007 1089 1477 1 0.164251 -0.0444834 8.22335e-05 -0.0444834 0.153982 -6.31017e-05 8.22335e-05 -6.31017e-05 1.16652e-07  
34007 1082 1440 1 0.244176 0.0546312 -0.00012124 0.0546312 0.728492 -0.000132453 -0.00012124 -0.000132453 2.93946e-07  
34008 1081 1272 1 0.255496 0.0055744 6.26556e-06 0.0055744 25.6331 0.000391057 6.26556e-06 0.000391057 4.39543e-07  
34008 1088 1476 1 0.122112 -0.0433236 6.52786e-05 -0.0433236 0.257225 -8.39622e-05 6.52786e-05 -8.39622e-05 1.26511e-07  
34009 1088 1475 1 0.111306 -0.0348927 5.84352e-05 -0.0348927 0.201527 -6.52657e-05 5.84352e-05 -6.52657e-05 1.09301e-07  
34009 1075 1447 1 0.226255 -0.0142663 -0.000139297 -0.0142663 0.526609 3.2572e-05 -0.000139297 3.2572e-05 3.18036e-07  
34010 1090 1477 1 0.278071 -0.0588805 0.000121054 -0.0588805 0.237446 -7.87377e-05 0.000121054 -7.87377e-05 1.61879e-07  
34010 1076 1450 1 0.221972 -0.00620232 -0.000102183 -0.00620232 0.629435 1.84803e-05 -0.000102183 1.84803e-05 3.04461e-07  
34011 1077 1488 1 0.209629 -0.0178716 0.000115843 -0.0178716 0.675468 -5.50031e-05 0.000115843 -5.50031e-05 3.56529e-07  
34011 1087 1455 1 0.575051 0.0392324 -0.000147104 0.0392324 1.31907 -0.000186112 -0.000147104 -0.000186112 6.97838e-07  
34011 1075 1443 1 0.192436 -0.0114746 -0.000111362 -0.0114746 0.379751 2.26721e-05 -0.000111362 2.26721e-05 2.20035e-07  
34012 1075 1484 1 0.185018 0.00767309 9.45121e-05 0.00767309 0.400651 1.9383e-05 9.45121e-05 1.9383e-05 2.38747e-07  
34012 1088 1474 1 0.145793 -0.0375981 7.33163e-05 -0.0375981 0.26971 -7.47056e-05 7.33163e-05 -7.47056e-05 1.45676e-07  
34013 1076 1439 1 0.22895 -0.00557646 -0.000119888 -0.00557646 0.595274 1.30266e-05 -0.000119888 1.30266e-05 2.80058e-07  
34013 1076 1480 1 0.172496 0.017702 9.17739e-05 0.017702 0.591388 5.13467e-05 9.17739e-05 5.13467e-05 2.662e-07  
34013 1088 1478 1 0.229359 -0.0581709 0.000110855 -0.0581709 0.264153 -8.94716e-05 0.000110855 -8.94716e-05 1.70504e-07  
34014 1080 1439 1 0.250982 0.0170832 -0.00014289 0.0170832 0.636176 -3.9148e-05 -0.00014289 -3.9148e-05 3.27448e-07  
